Ticker;Name;Founder;Current Price;Market Cap;Circulating Supply;Max Supply
AAVE-USD;Aave;Stani Kulechov;93.23;1379631679.0;14807578.0;16000000.0
ADA-USD;Cardano;Charles Hoskinson;0.4819;17011070592.0;35310891231.0;45000000000.0
ALGO-USD;Algorand;Silvio Micali;0.2215;1804055315.0;8138104568.0;10000000000.0
AVAX-USD;Avalanche;Emin Gün Sirer;37.47;14169618453.0;378020771.0;720000000.0
BAT-USD;Basic Attention Token;Brendan Eich;0.2713;404390000.0;1490000000.0;
BCH-USD;Bitcoin Cash;;486.76;9584204685.0;19696249.0;21000000.0
BNB-USD;Binance Coin;;605.03;;;
BTC-USD;Bitcoin;;65080.87;1281416767196.0;19689606.0;21000000.0
DASH-USD;Dash;Evan Duffield;30.93;363461065.0;11762449.0;18920000.0
DCR-USD;Decred;Jake Yocom-Piatt;23.37;374331221.0;16012365.0;21000000.0
DOGE-USD;Dogecoin;Billy Markus, Jackson Palmer;0.1546;22222056357.0;143962476383.0;
ENJ-USD;Enjin Coin;Maxim Blagov, Witek Radomski;0.3394;488460519.0;1441463706.0;
EOS-USD;EOS.IO;Dan Larimer;0.8423;946710000.0;1120000000.0;
ETC-USD;Ethereum Classic;;27.12;3978000000.0;146710000.0;
ETH-USD;Ethereum;Vitalik Buterin;3195.23;389969000000.0;122050000.0;
FIL-USD;Filecoin;Juan Benet;6.1689;3351000000.0;543150000.0;
HBAR-USD;Hedera Hashgraph;Dr. Leemon Baird;0.128042;4577000000.0;35740000000.0;
HT-USD;Huobi Token;;0.57952;94018000.0;162230000.0;
KLAY-USD;Klaytn;;0.202935;735726000.0;3630000000.0;
KSM-USD;Kusama;Gavin Wood;24.1;204116000.0;8470000.0;
LINK-USD;Chainlink;Sergey Nazarov, Steve Ellis;14.75;8,675,165,494;587,099,971;1,000,000,000
LTC-USD;Litecoin;Charlie Lee;84.88;6,315,015,361;74,458,226;84,000,000
MANA-USD;Decentraland;Ariel Meilich, Esteban ordano;0.4722;880,741,125;1,864,136,554;2,193,179,327
MATIC-USD;Polygon;Jaynti Kanani, Sandeep Naiwal, Anurag Arjun, Mihailo Bjelic;0.7152;6,643,901,461;9,282,943,566;10,000,000,000
MKR-USD;Maker;Rune Christensen;2,896.94;2,683,532,097;924,717;1,005,577
NEO-USD;Neo;Da Hongfei, Erik Zhang;17.90;1,261,470,414;70,530,000;
QTUM-USD;Qtum;Patrick Dai;4.02;423,281,004;105,123,012;
SNX-USD;Synthetix;Kain Warwick;2.92;959,267,506;327,769,196;328,193,104
THETA-USD;Theta Network;Mitch Liu, Jieyi Long;2.34;2,335,438,532;1,000,000,000;1,000,000,000
TRX-USD;TRON;Justin Sun;0.1129;9,880,944,050;87,576,456,956;
USDC-USD;USD Coin;;0.999799;33,623,000,000;33,630,000,000;
USDT-USD;Tether;Reeve Collins, Brock Pierce, Craig Sellars;0.9973;110,169,789,279;110,463,515,619;
VET-USD;VeChain;Sunny Lu;0.04023;2,925,435,673;72,714,516,834;86,712,634,466
WAVES-USD;Waves;Sasha Ivanov;2.50;249,722,520;100,000,000;
XEM-USD;NEM;Makoto Takemiya;0.04083;367,884,280;8,999,999,999;
XLM-USD;Stellar;Jed McCaleb, Joyce Kim;0.1157;3,345,035,616;28,918,609,316;50,001,786,995
XMR-USD;Monero;;120.66;2,191,410,628;18,147,820;
XRP-USD;XRP;Arthur Britto, David Schwartz, Ryan Fugger;0.5268;29,013,698,046;55,129,144,019;100,000,000,000
XTZ-USD;Tezos;Arthur Breitman, Kathleen Breitman;1.02;993,036,389;979,349,461;
YFI-USD;Yearn.finance;Andre Cronje;7,069.14;235,755,151;33,414;36,666
ZEC-USD;Zcash;Zooko Wilcox-O'Hearn;23.31;348,836,873;14,987,278;21,000,000
ZIL-USD;Zilliqa;Xinshu Dong, Amrit Kumar;0.02619;478,333,578;18,290,016,417;21,000,000,000
